Airport.Code,Airport.Name,Time.Year,Statistics.Flights.Cancelled
ORD,"Chicago, IL: Chicago O'Hare International",2003,433
PDX,"Portland, OR: Portland International",2003,44
PHL,"Philadelphia, PA: Philadelphia International",2003,206
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003,146
SAN,"San Diego, CA: San Diego International",2003,48
SEA,"Seattle, WA: Seattle/Tacoma International",2003,86
SFO,"San Francisco, CA: San Francisco International",2003,65
SLC,"Salt Lake City, UT: Salt Lake City International",2003,54
TPA,"Tampa, FL: Tampa International",2003,34
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003,189
BOS,"Boston, MA: Logan International",2003,124
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003,42
CLT,"Charlotte, NC: Charlotte Douglas International",2003,54
DCA,"Washington, DC: Ronald Reagan Washington National",2003,57
DEN,"Denver, CO: Denver International",2003,91
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003,200
DTW,"Detroit, MI: Detroit Metro Wayne County",2003,64
EWR,"Newark, NJ: Newark Liberty International",2003,135
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003,5
IAD,"Washington, DC: Washington Dulles International",2003,125
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003,51
JFK,"New York, NY: John F. Kennedy International",2003,28
LAS,"Las Vegas, NV: McCarran International",2003,135
LAX,"Los Angeles, CA: Los Angeles International",2003,581
LGA,"New York, NY: LaGuardia",2003,124
MCO,"Orlando, FL: Orlando International",2003,17
MDW,"Chicago, IL: Chicago Midway International",2003,45
MIA,"Miami, FL: Miami International",2003,34
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003,53
ORD,"Chicago, IL: Chicago O'Hare International",2003,324
PDX,"Portland, OR: Portland International",2003,45
PHL,"Philadelphia, PA: Philadelphia International",2003,80
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003,187
SAN,"San Diego, CA: San Diego International",2003,189
SEA,"Seattle, WA: Seattle/Tacoma International",2003,113
SFO,"San Francisco, CA: San Francisco International",2003,102
SLC,"Salt Lake City, UT: Salt Lake City International",2003,61
TPA,"Tampa, FL: Tampa International",2003,9
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003,263
BOS,"Boston, MA: Logan International",2003,156
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003,40
CLT,"Charlotte, NC: Charlotte Douglas International",2003,77
DCA,"Washington, DC: Ronald Reagan Washington National",2003,91
DEN,"Denver, CO: Denver International",2003,102
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003,373
DTW,"Detroit, MI: Detroit Metro Wayne County",2003,114
EWR,"Newark, NJ: Newark Liberty International",2003,307
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003,9
IAD,"Washington, DC: Washington Dulles International",2003,136
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003,157
JFK,"New York, NY: John F. Kennedy International",2003,31
LAS,"Las Vegas, NV: McCarran International",2003,78
LAX,"Los Angeles, CA: Los Angeles International",2003,232
LGA,"New York, NY: LaGuardia",2003,261
MCO,"Orlando, FL: Orlando International",2003,16
MDW,"Chicago, IL: Chicago Midway International",2003,110
MIA,"Miami, FL: Miami International",2003,22
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003,164
ORD,"Chicago, IL: Chicago O'Hare International",2003,1403
PDX,"Portland, OR: Portland International",2003,32
PHL,"Philadelphia, PA: Philadelphia International",2003,125
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003,123
SAN,"San Diego, CA: San Diego International",2003,55
SEA,"Seattle, WA: Seattle/Tacoma International",2003,74
SFO,"San Francisco, CA: San Francisco International",2003,111
SLC,"Salt Lake City, UT: Salt Lake City International",2003,105
TPA,"Tampa, FL: Tampa International",2003,12
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003,630
BOS,"Boston, MA: Logan International",2003,820
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003,125
CLT,"Charlotte, NC: Charlotte Douglas International",2003,134
DCA,"Washington, DC: Ronald Reagan Washington National",2003,245
DEN,"Denver, CO: Denver International",2003,110
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003,370
DTW,"Detroit, MI: Detroit Metro Wayne County",2003,226
EWR,"Newark, NJ: Newark Liberty International",2003,843
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003,57
IAD,"Washington, DC: Washington Dulles International",2003,269
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003,90
JFK,"New York, NY: John F. Kennedy International",2003,230
LAS,"Las Vegas, NV: McCarran International",2003,104
LAX,"Los Angeles, CA: Los Angeles International",2003,283
LGA,"New York, NY: LaGuardia",2003,689
MCO,"Orlando, FL: Orlando International",2003,80
MDW,"Chicago, IL: Chicago Midway International",2003,115
MIA,"Miami, FL: Miami International",2003,54
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003,200
ORD,"Chicago, IL: Chicago O'Hare International",2003,1034
PDX,"Portland, OR: Portland International",2003,39
PHL,"Philadelphia, PA: Philadelphia International",2003,263
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003,157
SAN,"San Diego, CA: San Diego International",2003,88
SEA,"Seattle, WA: Seattle/Tacoma International",2003,82
SFO,"San Francisco, CA: San Francisco International",2003,208
SLC,"Salt Lake City, UT: Salt Lake City International",2003,401
TPA,"Tampa, FL: Tampa International",2003,59
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,805
BOS,"Boston, MA: Logan International",2004,468
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,206
CLT,"Charlotte, NC: Charlotte Douglas International",2004,221
DCA,"Washington, DC: Ronald Reagan Washington National",2004,336
DEN,"Denver, CO: Denver International",2004,226
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,572
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,341
EWR,"Newark, NJ: Newark Liberty International",2004,548
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,27
IAD,"Washington, DC: Washington Dulles International",2004,279
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,113
JFK,"New York, NY: John F. Kennedy International",2004,128
LAS,"Las Vegas, NV: McCarran International",2004,177
LAX,"Los Angeles, CA: Los Angeles International",2004,359
LGA,"New York, NY: LaGuardia",2004,588
MCO,"Orlando, FL: Orlando International",2004,49
MDW,"Chicago, IL: Chicago Midway International",2004,225
MIA,"Miami, FL: Miami International",2004,70
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,274
ORD,"Chicago, IL: Chicago O'Hare International",2004,2652
PDX,"Portland, OR: Portland International",2004,531
PHL,"Philadelphia, PA: Philadelphia International",2004,287
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004,283
SAN,"San Diego, CA: San Diego International",2004,102
SEA,"Seattle, WA: Seattle/Tacoma International",2004,335
SFO,"San Francisco, CA: San Francisco International",2004,283
SLC,"Salt Lake City, UT: Salt Lake City International",2004,366
TPA,"Tampa, FL: Tampa International",2004,35
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,921
BOS,"Boston, MA: Logan International",2004,164
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,60
CLT,"Charlotte, NC: Charlotte Douglas International",2004,167
DCA,"Washington, DC: Ronald Reagan Washington National",2004,123
DEN,"Denver, CO: Denver International",2004,114
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,505
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,204
EWR,"Newark, NJ: Newark Liberty International",2004,198
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,12
IAD,"Washington, DC: Washington Dulles International",2004,175
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,68
JFK,"New York, NY: John F. Kennedy International",2004,45
LAS,"Las Vegas, NV: McCarran International",2004,135
LAX,"Los Angeles, CA: Los Angeles International",2004,253
LGA,"New York, NY: LaGuardia",2004,238
MCO,"Orlando, FL: Orlando International",2004,24
MDW,"Chicago, IL: Chicago Midway International",2004,130
MIA,"Miami, FL: Miami International",2004,26
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,225
ORD,"Chicago, IL: Chicago O'Hare International",2004,984
PDX,"Portland, OR: Portland International",2004,60
PHL,"Philadelphia, PA: Philadelphia International",2004,165
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004,177
SAN,"San Diego, CA: San Diego International",2004,65
SEA,"Seattle, WA: Seattle/Tacoma International",2004,112
SFO,"San Francisco, CA: San Francisco International",2004,205
SLC,"Salt Lake City, UT: Salt Lake City International",2004,193
TPA,"Tampa, FL: Tampa International",2004,11
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,255
BOS,"Boston, MA: Logan International",2004,263
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,44
CLT,"Charlotte, NC: Charlotte Douglas International",2004,81
DCA,"Washington, DC: Ronald Reagan Washington National",2004,105
DEN,"Denver, CO: Denver International",2004,80
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,401
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,160
EWR,"Newark, NJ: Newark Liberty International",2004,376
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,23
IAD,"Washington, DC: Washington Dulles International",2004,120
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,72
JFK,"New York, NY: John F. Kennedy International",2004,69
LAS,"Las Vegas, NV: McCarran International",2004,84
LAX,"Los Angeles, CA: Los Angeles International",2004,228
LGA,"New York, NY: LaGuardia",2004,368
MCO,"Orlando, FL: Orlando International",2004,14
MDW,"Chicago, IL: Chicago Midway International",2004,90
MIA,"Miami, FL: Miami International",2004,14
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,209
ORD,"Chicago, IL: Chicago O'Hare International",2004,1085
PDX,"Portland, OR: Portland International",2004,62
PHL,"Philadelphia, PA: Philadelphia International",2004,125
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004,138
SAN,"San Diego, CA: San Diego International",2004,59
SEA,"Seattle, WA: Seattle/Tacoma International",2004,77
SFO,"San Francisco, CA: San Francisco International",2004,117
SLC,"Salt Lake City, UT: Salt Lake City International",2004,79
TPA,"Tampa, FL: Tampa International",2004,10
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,264
BOS,"Boston, MA: Logan International",2004,106
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,20
CLT,"Charlotte, NC: Charlotte Douglas International",2004,42
DCA,"Washington, DC: Ronald Reagan Washington National",2004,62
DEN,"Denver, CO: Denver International",2004,74
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,249
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,117
EWR,"Newark, NJ: Newark Liberty International",2004,142
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,6
IAD,"Washington, DC: Washington Dulles International",2004,68
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,92
JFK,"New York, NY: John F. Kennedy International",2004,29
LAS,"Las Vegas, NV: McCarran International",2004,63
LAX,"Los Angeles, CA: Los Angeles International",2004,113
LGA,"New York, NY: LaGuardia",2004,174
MCO,"Orlando, FL: Orlando International",2004,7
MDW,"Chicago, IL: Chicago Midway International",2004,34
MIA,"Miami, FL: Miami International",2004,11
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,128
ORD,"Chicago, IL: Chicago O'Hare International",2004,456
PDX,"Portland, OR: Portland International",2004,45
PHL,"Philadelphia, PA: Philadelphia International",2004,65
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004,150
SAN,"San Diego, CA: San Diego International",2004,40
SEA,"Seattle, WA: Seattle/Tacoma International",2004,48
SFO,"San Francisco, CA: San Francisco International",2004,73
SLC,"Salt Lake City, UT: Salt Lake City International",2004,79
TPA,"Tampa, FL: Tampa International",2004,4
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,457
BOS,"Boston, MA: Logan International",2004,225
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,49
CLT,"Charlotte, NC: Charlotte Douglas International",2004,80
DCA,"Washington, DC: Ronald Reagan Washington National",2004,138
DEN,"Denver, CO: Denver International",2004,106
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,490
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,269
EWR,"Newark, NJ: Newark Liberty International",2004,339
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,10
IAD,"Washington, DC: Washington Dulles International",2004,162
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,390
JFK,"New York, NY: John F. Kennedy International",2004,41
LAS,"Las Vegas, NV: McCarran International",2004,67
LAX,"Los Angeles, CA: Los Angeles International",2004,173
LGA,"New York, NY: LaGuardia",2004,299
MCO,"Orlando, FL: Orlando International",2004,17
MDW,"Chicago, IL: Chicago Midway International",2004,52
MIA,"Miami, FL: Miami International",2004,41
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,217
ORD,"Chicago, IL: Chicago O'Hare International",2004,1968
PDX,"Portland, OR: Portland International",2004,36
PHL,"Philadelphia, PA: Philadelphia International",2004,169
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004,153
SAN,"San Diego, CA: San Diego International",2004,40
SEA,"Seattle, WA: Seattle/Tacoma International",2004,78
SFO,"San Francisco, CA: San Francisco International",2004,86
SLC,"Salt Lake City, UT: Salt Lake City International",2004,114
TPA,"Tampa, FL: Tampa International",2004,12
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,598
BOS,"Boston, MA: Logan International",2004,241
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,46
CLT,"Charlotte, NC: Charlotte Douglas International",2004,77
DCA,"Washington, DC: Ronald Reagan Washington National",2004,161
DEN,"Denver, CO: Denver International",2004,113
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,642
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,232
EWR,"Newark, NJ: Newark Liberty International",2004,275
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,14
IAD,"Washington, DC: Washington Dulles International",2004,178
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,291
JFK,"New York, NY: John F. Kennedy International",2004,61
LAS,"Las Vegas, NV: McCarran International",2004,102
LAX,"Los Angeles, CA: Los Angeles International",2004,152
LGA,"New York, NY: LaGuardia",2004,305
MCO,"Orlando, FL: Orlando International",2004,23
MDW,"Chicago, IL: Chicago Midway International",2004,40
MIA,"Miami, FL: Miami International",2004,39
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,132
ORD,"Chicago, IL: Chicago O'Hare International",2004,849
PDX,"Portland, OR: Portland International",2004,35
PHL,"Philadelphia, PA: Philadelphia International",2004,217
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004,145
SAN,"San Diego, CA: San Diego International",2004,29
SEA,"Seattle, WA: Seattle/Tacoma International",2004,108
SFO,"San Francisco, CA: San Francisco International",2004,120
SLC,"Salt Lake City, UT: Salt Lake City International",2004,101
TPA,"Tampa, FL: Tampa International",2004,11
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,475
BOS,"Boston, MA: Logan International",2004,378
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,90
CLT,"Charlotte, NC: Charlotte Douglas International",2004,104
DCA,"Washington, DC: Ronald Reagan Washington National",2004,257
DEN,"Denver, CO: Denver International",2004,102
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,561
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,216
EWR,"Newark, NJ: Newark Liberty International",2004,629
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,18
IAD,"Washington, DC: Washington Dulles International",2004,384
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,100
JFK,"New York, NY: John F. Kennedy International",2004,90
LAS,"Las Vegas, NV: McCarran International",2004,88
LAX,"Los Angeles, CA: Los Angeles International",2004,194
LGA,"New York, NY: LaGuardia",2004,619
MCO,"Orlando, FL: Orlando International",2004,38
MDW,"Chicago, IL: Chicago Midway International",2004,77
MIA,"Miami, FL: Miami International",2004,37
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,174
ORD,"Chicago, IL: Chicago O'Hare International",2004,1037
PDX,"Portland, OR: Portland International",2004,33
PHL,"Philadelphia, PA: Philadelphia International",2004,323
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004,137
SAN,"San Diego, CA: San Diego International",2004,41
SEA,"Seattle, WA: Seattle/Tacoma International",2004,56
SFO,"San Francisco, CA: San Francisco International",2004,120
SLC,"Salt Lake City, UT: Salt Lake City International",2004,71
TPA,"Tampa, FL: Tampa International",2004,19
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,570
BOS,"Boston, MA: Logan International",2004,320
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,100
CLT,"Charlotte, NC: Charlotte Douglas International",2004,156
DCA,"Washington, DC: Ronald Reagan Washington National",2004,258
DEN,"Denver, CO: Denver International",2004,110
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,596
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,183
EWR,"Newark, NJ: Newark Liberty International",2004,421
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,41
IAD,"Washington, DC: Washington Dulles International",2004,432
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,120
JFK,"New York, NY: John F. Kennedy International",2004,145
LAS,"Las Vegas, NV: McCarran International",2004,88
LAX,"Los Angeles, CA: Los Angeles International",2004,171
LGA,"New York, NY: LaGuardia",2004,474
MCO,"Orlando, FL: Orlando International",2004,406
MDW,"Chicago, IL: Chicago Midway International",2004,85
MIA,"Miami, FL: Miami International",2004,119
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,128
ORD,"Chicago, IL: Chicago O'Hare International",2004,907
PDX,"Portland, OR: Portland International",2004,26
PHL,"Philadelphia, PA: Philadelphia International",2004,282
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004,134
SAN,"San Diego, CA: San Diego International",2004,30
SEA,"Seattle, WA: Seattle/Tacoma International",2004,75
SFO,"San Francisco, CA: San Francisco International",2004,117
SLC,"Salt Lake City, UT: Salt Lake City International",2004,89
TPA,"Tampa, FL: Tampa International",2004,215
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,2164
BOS,"Boston, MA: Logan International",2004,357
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,250
CLT,"Charlotte, NC: Charlotte Douglas International",2004,314
DCA,"Washington, DC: Ronald Reagan Washington National",2004,270
DEN,"Denver, CO: Denver International",2004,149
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,581
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,185
EWR,"Newark, NJ: Newark Liberty International",2004,463
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,762
IAD,"Washington, DC: Washington Dulles International",2004,445
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,273
JFK,"New York, NY: John F. Kennedy International",2004,304
LAS,"Las Vegas, NV: McCarran International",2004,156
LAX,"Los Angeles, CA: Los Angeles International",2004,316
LGA,"New York, NY: LaGuardia",2004,459
MCO,"Orlando, FL: Orlando International",2004,1460
MDW,"Chicago, IL: Chicago Midway International",2004,133
MIA,"Miami, FL: Miami International",2004,709
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,142
ORD,"Chicago, IL: Chicago O'Hare International",2004,539
PDX,"Portland, OR: Portland International",2004,41
PHL,"Philadelphia, PA: Philadelphia International",2004,419
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2004,187
SAN,"San Diego, CA: San Diego International",2004,81
SEA,"Seattle, WA: Seattle/Tacoma International",2004,75
SFO,"San Francisco, CA: San Francisco International",2004,155
SLC,"Salt Lake City, UT: Salt Lake City International",2004,132
TPA,"Tampa, FL: Tampa International",2004,616
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004,420
BOS,"Boston, MA: Logan International",2004,151
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004,51
CLT,"Charlotte, NC: Charlotte Douglas International",2004,77
DCA,"Washington, DC: Ronald Reagan Washington National",2004,90
DEN,"Denver, CO: Denver International",2004,111
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004,471
DTW,"Detroit, MI: Detroit Metro Wayne County",2004,97
EWR,"Newark, NJ: Newark Liberty International",2004,154
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004,6
IAD,"Washington, DC: Washington Dulles International",2004,333
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004,68
JFK,"New York, NY: John F. Kennedy International",2004,56
LAS,"Las Vegas, NV: McCarran International",2004,126
LAX,"Los Angeles, CA: Los Angeles International",2004,219
LGA,"New York, NY: LaGuardia",2004,127
MCO,"Orlando, FL: Orlando International",2004,19
MDW,"Chicago, IL: Chicago Midway International",2004,34
MIA,"Miami, FL: Miami International",2004,32
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004,85
ORD,"Chicago, IL: Chicago O'Hare International",2004,442
PDX,"Portland, OR: Portland International",2004,33
